,,,General Data,,,,,,,,,Time to Reach,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,9.27,1,4,1,4,,,#N/A,7.98,#N/A,#N/A,#N/A,#N/A,7.98
2,6,10,3,0,0,2,,,9.21,7.49,7.9,#N/A,#N/A,#N/A,9.12
3,6,10,5,0,0,1,,,#N/A,3.32,2.97,3.17,4.1,3.79,4.57
4,6,4.15,6,0,0,2,,,4.11,2.91,2.91,3.65,3.36,3.58,3.42
5,6,5.17,6,0,0,1,,,3.05,5.14,3.87,3.08,2.95,3.61,3.62
6,6,4.73,6,0,0,0,,,3.24,4.7,2.91,3.04,3.04,3.24,3.36
7,6,3.72,6,0,0,0,,,3.11,3.05,3.68,3.68,3.05,2.98,3.26
8,6,3.96,6,0,0,0,,,3.17,2.81,3.77,3.93,3.35,3.25,3.38
9,6,3.64,6,0,0,0,,,3.17,3.48,3.17,3.6,3.23,3.56,3.37
10,6,3.19,6,0,0,0,,,3.16,3.09,2.95,3.09,3.16,2.88,3.05
