,,,General Data,,,,,,,,,Time to Reach,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,3,9,1,9,,,#N/A,2.93,#N/A,3.04,#N/A,#N/A,#N/A,#N/A,9.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.54
2,16,10,3,7,0,16,,,#N/A,#N/A,#N/A,#N/A,#N/A,4.2,#N/A,#N/A,5.74,3.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.15
3,16,10,7,0,0,5,,,#N/A,#N/A,#N/A,#N/A,#N/A,4.46,6.12,3.26,3.47,3.68,5.37,3,#N/A,#N/A,#N/A,#N/A,7.49
4,16,10,12,0,0,0,,,#N/A,#N/A,#N/A,#N/A,3.29,3.01,4.65,3.58,3.15,3.15,2.88,3.74,2.88,4.04,3.15,4.04,5.11
5,16,8.34,16,0,0,0,,,3.46,3.61,3.02,3.16,4.11,2.89,3.61,3.16,8.18,2.89,3.61,3.16,3.16,3.77,3.32,3.61,3.67
6,16,10,15,0,0,0,,,3.84,2.96,7.13,#N/A,3.37,3.23,3.53,3.1,3.84,3.37,3.23,2.96,4.47,3.23,2.96,3.1,4.02
7,16,4.93,16,0,0,0,,,3.16,3,2.86,3.31,4.09,3.16,2.86,2.86,3.63,3,3.16,2.74,3,3.63,4.09,4.75,3.33
8,16,4.46,16,0,0,0,,,3.37,3.21,3.83,4.13,4.3,3.51,3.06,2.91,2.91,3.66,3.21,3.21,3.37,3.06,4.3,2.75,3.42
9,16,4.7,16,0,0,0,,,3.35,3.05,3.05,3.35,3.95,3.35,3.05,4.1,4.57,4.57,4.4,3.95,3.5,3.05,3.35,3.79,3.65
10,16,4.4,16,0,0,0,,,3.1,3.31,3.31,3.1,4.25,3.18,2.88,3.1,3.18,3.48,3.18,3.31,2.88,3.1,3.18,3.31,3.24
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,1,13,1,13,,,#N/A,#N/A,#N/A,#N/A,3.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.01
2,16,10,2,6,0,16,,,#N/A,#N/A,6.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.05,#N/A,#N/A,9.19
3,16,10,9,0,0,9,,,#N/A,#N/A,#N/A,3.34,#N/A,5.44,7.75,6.75,#N/A,#N/A,3.53,#N/A,2.84,2.94,3.15,3.24,6.83
4,16,10,16,0,0,11,,,3.41,3.66,2.83,4.2,4.04,2.83,4.63,5.69,3.93,9.98,3.06,2.93,4.63,4.04,3.17,4.33,4.21
5,16,8.82,16,0,0,0,,,3.51,8.29,7.76,7.93,5.31,3.05,6.23,4.12,3.05,4.12,8.64,7.76,3.22,7.76,3.22,3.22,5.45
6,16,5.56,16,0,0,0,,,4.03,3.36,3.36,3.03,4.88,2.87,3.36,3.19,3.03,3.36,3.36,3.7,5.24,2.87,3.19,4.21,3.56
7,16,6.72,16,0,0,0,,,3.3,3.84,3.14,3.84,2.97,2.97,2.97,3.46,3.84,2.97,3.46,2.82,2.97,6.53,4,3.14,3.51
8,16,5.66,16,0,0,0,,,3.32,3.15,3.01,2.85,3.01,3.32,3.15,3.15,5.55,3.32,5.25,4,2.85,4.9,4,3.84,3.67
9,16,5.18,16,0,0,0,,,5.01,3.92,3.39,3.23,2.91,3.39,4.09,3.92,3.23,3.92,4.27,3.57,3.23,3.23,3.57,3.57,3.65
10,16,4.41,16,0,0,0,,,3.52,3.17,3.17,3.17,3.88,2.85,3.71,3.17,2.85,3.02,4.05,3.17,3.71,3.52,4.22,3.52,3.42
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,8.77,2,13,1,13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.35,#N/A,#N/A,5.89,#N/A,#N/A,#N/A,#N/A,5.62
2,16,10,0,7,0,13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,16,10,7,0,0,1,,,#N/A,#N/A,3.74,4.1,3.23,2.99,#N/A,#N/A,4.74,7.94,3.11,#N/A,#N/A,#N/A,#N/A,#N/A,7.52
4,16,10,14,0,0,1,,,#N/A,#N/A,3.06,3.37,3.06,3.21,3.06,3.06,3.06,3.37,3.37,2.9,3.21,3.37,3.53,3.86,4.1
5,16,4.53,16,0,0,0,,,3.68,3.17,3.34,3.01,3.84,3.01,4.35,3.01,3.17,4,3.51,3.17,3.84,3.17,2.87,3.01,3.38
6,16,5.21,16,0,0,0,,,3.32,3.32,3.5,3.67,3.18,3.01,3.67,3.32,3.18,3.32,3.01,3.99,3.18,3.32,5.03,3.99,3.5
7,16,4.32,16,0,0,0,,,3.13,2.81,3.61,3.29,4.14,3.79,3.13,3.61,2.97,3.97,2.81,3.29,3.45,3.13,3.45,4.14,3.42
8,16,4.98,16,0,0,0,,,3.12,3.44,2.82,3.27,2.97,2.82,3.12,4.12,3.12,3.77,2.97,4.82,4.46,3.94,3.94,2.97,3.48
9,16,7.16,16,0,0,0,,,3.45,2.98,2.82,3.12,3.28,4.14,3.12,2.98,2.98,3.78,3.12,2.98,3.28,4.31,5.02,6.98,3.65
10,16,5.3,16,0,0,0,,,5.13,3.39,3.39,3.39,3.23,3.39,3.07,3.39,3.07,3.89,3.89,2.92,3.89,3.89,3.23,3.23,3.52
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
