,,,General Data,,,,,,,,,Time to Reach,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,10,0,4,1,4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,6,10,0,2,1,6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,6,10,1,1,0,3,,,7.47,#N/A,#N/A,#N/A,#N/A,#N/A,9.53
4,6,10,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,6,10,0,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,6,10,4,0,0,0,,,9.59,5.63,2.93,3.15,#N/A,#N/A,6.9
7,6,5.05,6,0,0,0,,,2.87,2.9,2.87,3.18,3.86,5.02,3.45
8,6,4.41,6,0,0,0,,,3.96,3.21,3.28,2.75,3.99,4.37,3.59
9,6,4.23,6,0,0,0,,,4.2,3.15,3.62,4.2,3.62,3.24,3.67
10,6,4.28,6,0,0,0,,,3.06,3.46,4.24,3.06,2.85,3.91,3.43
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,10,0,4,1,4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,6,10,1,2,0,6,,,#N/A,#N/A,7.64,#N/A,#N/A,#N/A,9.45
3,6,10,2,0,0,6,,,#N/A,#N/A,#N/A,#N/A,4.69,3.92,8.13
4,6,10,5,0,0,3,,,7.3,#N/A,4.39,4.78,4.32,4.01,5.81
5,6,4.44,6,0,0,3,,,2.97,4.39,3.67,4.09,4.36,2.81,3.71
6,6,4.05,6,0,0,3,,,2.95,3.18,2.95,2.95,3.15,4.01,3.2
7,6,5.89,6,0,0,0,,,3.17,3.9,3.2,5.86,3.2,3.11,3.74
8,6,4.73,6,0,0,0,,,2.84,4.7,4.14,2.87,3.18,3.07,3.47
9,6,3.91,6,0,0,0,,,3.67,2.7,3.37,3.34,3.88,3.31,3.38
10,6,3.65,6,0,0,0,,,3.14,3.61,3.51,3.47,3.14,3.18,3.34
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Average Time
1,5,10,0,4,1,4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,6,10,0,2,0,5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,6,10,3,0,0,5,,,8.06,3.52,2.99,#N/A,#N/A,#N/A,7.45
4,6,6.19,6,0,0,2,,,3.53,6.16,3,4.63,3.38,5.84,4.42
5,6,7.01,6,0,0,0,,,6.98,3.28,4.92,3.22,3.28,2.87,4.09
6,6,4,6,0,0,0,,,3.85,2.98,3.23,2.83,3.97,3.54,3.4
7,6,3.95,6,0,0,0,,,3.92,2.94,3.7,3.89,3.61,3.34,3.57
8,6,4.13,6,0,0,0,,,2.92,3.91,3.22,4.1,3.1,2.8,3.34
9,6,4.47,6,0,0,0,,,3.23,3.93,3.31,3.09,4.44,4.35,3.72
